,right_ans,student_ans,similarity,grammer_check,keyword_sum,score
12,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",There are disconnections and non-disconnections depending on DC and parallel connections.,0.27679497,0,0,1
13,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because it is a parallel connection.,0.22505942,0,0,1
14,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","Even if the air conditioner is turned off due to parallel connection, there is no reason for other home appliances to be turned off inevitably.",0.7428744,0,0,1
15,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","Use of multi-tap should be reduced, and items with a lot of power should be used separately instead of using multi-cap.",0.34279883,0,0,1
16,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","The air conditioner cord and other electronics cord are connected in parallel, so even if one is broken, the other does not.",0.8140934,0,0,1
17,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The air conditioner is broken.,0.2999328,0,0,1
18,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",An excessive current cut off electricity and turned off all connected home appliances in parallel.,0.5641108,0,0,1
19,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","Even if electronics are connected in parallel and one product is powered off, other products are not powered off.",0.6904549,0,0,1
20,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",This is because electronics are connected in parallel.,0.5521297,0,0,1
21,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",This is because home appliances are connected in parallel.,0.5592246,0,0,1
22,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","Because the circuits are connected in parallel, each electronic product receives power independently.",0.6965076,0,0,1
23,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The current of other electronic devices was not cut off thanks to the operation of the overcurrent prevention circuit in the air conditioner and the power of the air conditioner was quickly cut off.,0.79604363,0,0,1
24,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",This is because the outlet is a parallel connection.,0.4666438,0,0,1
25,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because it's connected in parallel,0.22807477,0,0,1
26,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",There is no problem with other electronics because the power to the outlet is somewhat unaffordable,0.68098736,0,0,1
27,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","Because the circuit of the outlet is made up of parallel connections, other products are fine even if one goes wrong. In parallel connections, all connected products use the same current. When the batteries are connected in parallel, there is no change in the amount of the battery, and there is a change in the usage time. The parallel connection of the product reduces time, and the amount of power received is the same.",0.7833763,0,0,1
28,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",It's connected in parallel,0.20447645,0,0,1
29,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","Since circuits are connected in parallel, circuits are connected separately from each other's turning off and on, so electronic products do not affect turning off and turning on each other even if they are connected to the same code.",0.7844597,0,0,1
30,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
31,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
32,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
33,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
34,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
35,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
36,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
37,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","""I turned off and turned on the multi-cam I think it's because the cord in the air conditioner is broken.",0.48925933,1,0,1
38,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","""",-0.09581574,0,0,1
39,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't have a full electrical cord,0.29443428,0,0,1
40,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","The TV, refrigerator, and high school have electricity",0.35616505,0,0,1
41,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The air conditioner uses a little bit of electricity,0.5608202,1,0,1
42,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know.,-0.010035588,0,0,1
43,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","The air conditioner was used more than the amount of electricity, so the current flowed excessively and broke down, and the other electronic products without the air conditioner did not turn off because the current was flowing normally.",0.70385027,0,0,1
44,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The air conditioner broke down because it couldn't block the electricity because it had too much electricity.,0.5824824,0,0,1
45,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I think it's because the air conditioner alone has too much electricity and other electronics are connected to the same concept but flowers are in different places.,0.5646094,1,0,1
46,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","The electricity from the ground overflowed and the cord exploded, and the electricity went into other TV lights",0.403702,1,0,1
47,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I used too much electricity.,0.32530037,0,0,1
48,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","The other one had less electricity and used a lot of air conditioners, so electricity flowed.",0.64729935,0,0,1
49,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","The ground was filled with electricity, and the cord was torn apart",0.29906458,0,0,1
50,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The chords didn't go in well,0.10155778,0,0,1
51,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",It's all,0.14934222,0,0,1
52,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",It's in parallel,0.13510805,0,0,1
53,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The fuse is blocked,0.26345602,0,0,1
54,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",This is because the motor of the air conditioner does not stop right away.,0.53706884,0,0,1
55,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",This is because the motor of the air conditioner does not stop right away.,0.53706884,0,0,1
56,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",It's all,0.14934222,0,0,1
57,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","The fuse on the air conditioner is down, so the other place is fine.",0.70945746,0,0,1
58,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because the fuse is not blocked.Ida.,0.4102826,1,0,1
59,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because only the air conditioner was cut off by using a fuse,0.7051684,0,0,1
60,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","When the power of the air conditioner is exceeded, the fuse automatically turns off and the air conditioner turns off",0.5762085,0,0,1
61,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The fuse is off,0.3248535,0,0,1
62,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",This is because the connection method of electronic products is different.,0.42691383,0,0,1
63,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",This is because only the fuse in the line connected to the air conditioner was turned off.,0.75451887,0,0,1
64,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",a phenomenon caused by FUSE,0.17363445,1,0,1
65,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","""The air conditioner uses more power, so I didn't use a lot of electricity, but I think it's because of the air conditioner, so I can easily use other power if the air conditioner is turned off",0.74792755,0,0,1
66,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","""FUSE""",0.051298942,0,0,1
67,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because it's a different front,-0.030242456,0,0,1
68,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","This is because air conditioners use as much current as they use, and other electronic products use as much as they use.",0.6728935,0,0,1
69,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know,-0.004753505,0,0,1
70,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The problem is difficult to understand.,0.14867996,0,0,1
71,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because electronics are connected in parallel,0.48774764,0,0,1
72,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because electricity is not connected.,0.41184318,0,0,1
73,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I used the air conditioner more than my electricity,0.4754874,0,0,1
74,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","""It's connected in parallel",0.19559136,0,0,1
75,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","""",-0.09581574,0,0,1
76,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Other electronics did not turn off even if the air conditioner was turned off by parallel connection.,0.7270622,0,0,1
77,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The electrical cord is different,0.19371851,0,0,1
78,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","Even if it's in the same code, it's connected in parallel",0.37239057,0,0,1
79,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","If more than one electronic device is used, the electronic device's power is turned off. However, other electronic products such as TVs and refrigerators do not turn off by themselves because they have not used more than the amount of electricity.",0.7081553,0,0,1
80,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","It's connected in parallel, so even if one is turned off, the rest is still alive",0.5493352,0,0,1
81,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because of the parallel connection,0.25578412,0,0,1
82,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",It's because the battery and the light bulb are connected differently.,0.39665818,0,0,1
83,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The electricity seems to have been connected in parallel,0.521345,0,0,1
84,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The others were parallel connections,0.2442125,0,0,1
85,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because of the parallel connection to the battery,0.45717326,0,0,1
86,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",The current flows the most only in the AC,0.5800586,0,0,1
87,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I think only the one connected to the air conditioner is broken,0.6083414,0,0,1
88,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't understand.,-0.025621284,0,0,1
89,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","This is because the wires were connected in parallel, not in series.",0.46561465,0,0,1
90,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Due to the parallel connection of electricity,0.48034024,0,0,1
91,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because it's a parallel connection,0.18193656,0,0,1
92,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.","I connected the wire with parallel connection, but there was only one wire, so the current was excessive and ruptured, and the rest had two wires, so the current kept flowing",0.54038775,0,0,1
93,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Due to the parallel connection of electricity,0.48034024,0,0,1
94,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",I don't know.,-0.010035588,0,0,1
95,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Because it was connected in parallel.,0.2570844,0,0,1
96,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",You could use a series or parallel.,0.1017439,0,0,1
97,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant.",Other electronics do not seem to turn off because of the parallel connection,0.6856787,0,0,1
